=== Imported Function Usage by Segment ===
Modules: 1:USER, 2:GDI, 3:KERNEL, 4:UEXTRA, 5:WAVMIX16, 6:OLE2DISP, 7:WING, 8:COMPOBJ, 9:OLE2, 10:COMMDLG, 11:MSAJT110, 12:KEYBOARD, 13:SHELL, 14:MSABC110, 15:MMSYSTEM, 16:WIN87EM
 Seg   Size  imports called (count)
------------------------------------------------------------
   2  41636  GDI.101(1), GDI.106(1), GDI.11(1), GDI.12(1), GDI.123(1), GDI.127(1), GDI.128(1), GDI.13(1), GDI.14(1), GDI.160(1), GDI.175(1), GDI.176(1), GDI.24(1), GDI.28(1), GDI.3(1), GDI.30(1), GDI.35(1), GDI.36(1), GDI.363(1), GDI.37(1), GDI.370(1), GDI.39(1), GDI.439(1), GDI.440(1), GDI.444(1), GDI.45(1), GDI.47(1), GDI.473(1), GDI.475(1), GDI.54(1), GDI.60(1), GDI.61(1), GDI.63(1), GDI.64(1), GDI.65(1), GDI.66(1), GDI.69(1), GDI.77(1), GDI.80(1), GDI.87(1), GDI.95(1), GDI.97(1), KERNEL.15(1), KERNEL.16(1), KERNEL.17(1), KERNEL.18(1), KERNEL.19(1), KERNEL.20(1), KERNEL.21(1), KERNEL.349(1), KERNEL.36(1), KERNEL.55(1), KERNEL.84(1), KERNEL.90(1), OLE2DISP.2(1), OLE2DISP.6(1), OLE2DISP.7(1), UEXTRA.COPYDIBBITS(1), UEXTRA.RLEPACKDIB(1), UEXTRA.RLETRANSEXPAND(1), UEXTRA.TRANSCOPYDIBBITS(1), USER.10(1), USER.109(1), USER.111(1), USER.114(1), USER.12(1), USER.125(1), USER.129(1), USER.13(1), USER.135(1), USER.136(1), USER.171(1), USER.173(1), USER.180(1), USER.190(1), USER.224(1), USER.244(1), USER.262(1), USER.28(1), USER.282(1), USER.283(1), USER.286(1), USER.293(1), USER.32(1), USER.33(1), USER.431(1), USER.46(1), USER.47(1), USER.49(1), USER.56(1), USER.69(1), USER.72(1), USER.73(1), USER.74(1), USER.76(1), USER.77(1), USER.78(1), USER.79(1), USER.80(1), USER.81(1), WAVMIX16.10(1), WAVMIX16.12(1), WAVMIX16.4(1), WAVMIX16.5(1), WAVMIX16.7(1), WAVMIX16.8(1), WING.1003(1), WING.1004(1), WING.1010(1)
   3  41402  COMPOBJ.4(1), GDI.1(1), GDI.128(1), GDI.17(1), GDI.2(1), GDI.350(1), GDI.45(1), GDI.69(1), GDI.77(1), GDI.81(1), GDI.82(1), GDI.87(1), GDI.91(1), GDI.93(1), KERNEL.15(1), KERNEL.16(1), KERNEL.17(1), KERNEL.18(1), KERNEL.19(1), KERNEL.21(1), KERNEL.349(1), KERNEL.353(1), KERNEL.36(1), KERNEL.49(1), KERNEL.5(1), KERNEL.55(1), KERNEL.60(1), KERNEL.61(1), KERNEL.62(1), KERNEL.63(1), KERNEL.7(1), KERNEL.74(1), KERNEL.8(1), KERNEL.81(1), KERNEL.85(1), KERNEL.88(1), KERNEL.89(1), KERNEL.9(1), KERNEL.90(1), OLE2DISP.2(1), OLE2DISP.31(1), OLE2DISP.4(1), OLE2DISP.6(1), OLE2DISP.7(1), UEXTRA.HMEMSET(1), USER.106(1), USER.107(1), USER.111(1), USER.122(1), USER.124(1), USER.125(1), USER.13(1), USER.133(1), USER.134(1), USER.135(1), USER.136(1), USER.163(1), USER.167(1), USER.18(1), USER.183(1), USER.19(1), USER.22(1), USER.224(1), USER.228(1), USER.23(1), USER.232(1), USER.236(1), USER.28(1), USER.282(1), USER.283(1), USER.29(1), USER.32(1), USER.33(1), USER.34(1), USER.36(1), USER.37(1), USER.38(1), USER.40(1), USER.41(1), USER.42(1), USER.420(1), USER.430(1), USER.46(1), USER.47(1), USER.49(1), USER.53(1), USER.56(1), USER.60(1), USER.62(1), USER.66(1), USER.68(1), USER.69(1), USER.72(1), USER.73(1), USER.74(1), USER.75(1), USER.76(1), USER.77(1), USER.79(1), USER.85(1), USER.92(1), WAVMIX16.5(1)
   4  41451  COMPOBJ.38(2), GDI.128(1), GDI.161(1), GDI.2(1), GDI.22(1), GDI.29(1), GDI.30(1), GDI.351(1), GDI.39(1), GDI.45(1), GDI.475(1), GDI.482(1), GDI.57(1), GDI.65(1), GDI.66(1), GDI.69(1), GDI.76(1), GDI.77(1), GDI.80(1), GDI.82(1), GDI.87(1), GDI.9(1), GDI.91(1), GDI.93(1), KERNEL.10(1), KERNEL.17(1), KERNEL.334(1), KERNEL.349(1), KERNEL.55(1), KERNEL.6(1), KERNEL.84(1), KERNEL.88(1), KERNEL.90(1), KERNEL.96(1), OLE2.154(2), OLE2.37(1), OLE2DISP.2(1), OLE2DISP.6(1), OLE2DISP.7(1), USER.110(1), USER.111(1), USER.125(1), USER.129(1), USER.133(1), USER.135(1), USER.136(1), USER.166(1), USER.167(1), USER.190(1), USER.247(1), USER.28(1), USER.282(1), USER.283(1), USER.29(1), USER.32(1), USER.33(1), USER.36(1), USER.37(1), USER.38(1), USER.40(1), USER.42(1), USER.420(1), USER.431(1), USER.46(1), USER.47(1), USER.471(1), USER.56(1), USER.62(1), USER.66(1), USER.68(1), USER.69(1), USER.72(1), USER.74(1), USER.77(1), USER.78(1), USER.79(1), USER.81(1), USER.83(1), USER.85(1), WAVMIX16.10(1)
   5  36234  COMMDLG.27(1), GDI.2(1), GDI.27(1), GDI.45(1), GDI.473(1), GDI.48(1), GDI.480(1), GDI.61(1), GDI.66(1), GDI.69(1), GDI.77(1), GDI.80(1), GDI.87(1), GDI.91(1), KERNEL.1(1), KERNEL.102(1), KERNEL.107(1), KERNEL.113(1), KERNEL.114(1), KERNEL.129(1), KERNEL.13(1), KERNEL.131(1), KERNEL.137(1), KERNEL.15(1), KERNEL.16(1), KERNEL.17(1), KERNEL.178(1), KERNEL.18(1), KERNEL.19(1), KERNEL.20(1), KERNEL.23(1), KERNEL.24(1), KERNEL.3(1), KERNEL.4(1), KERNEL.49(1), KERNEL.5(1), KERNEL.7(1), KERNEL.89(1), KERNEL.90(1), USER.10(1), USER.111(1), USER.118(1), USER.125(1), USER.135(1), USER.136(1), USER.173(1), USER.174(1), USER.175(1), USER.179(1), USER.18(1), USER.180(1), USER.19(1), USER.21(1), USER.269(1), USER.28(1), USER.282(1), USER.283(1), USER.29(1), USER.31(1), USER.32(1), USER.33(1), USER.40(1), USER.417(1), USER.420(1), USER.46(1), USER.56(1), USER.57(1), USER.66(1), USER.68(1), USER.69(1), USER.74(1), USER.78(1), USER.79(1), USER.81(1), USER.85(1)
   6  27602  GDI.1(1), GDI.128(1), GDI.2(1), GDI.307(1), GDI.33(1), GDI.45(1), GDI.66(1), GDI.69(1), GDI.9(1), GDI.91(1), KERNEL.136(1), KERNEL.17(1), KERNEL.18(1), KERNEL.19(1), KERNEL.22(1), KERNEL.36(1), KERNEL.6(1), KERNEL.8(1), KERNEL.9(1), KERNEL.90(1), MSAJT110.101(1), MSAJT110.103(1), MSAJT110.104(1), MSAJT110.107(1), MSAJT110.108(1), MSAJT110.109(1), MSAJT110.113(1), MSAJT110.117(1), MSAJT110.119(1), MSAJT110.120(1), MSAJT110.125(1), MSAJT110.127(1), MSAJT110.128(1), MSAJT110.130(1), MSAJT110.134(1), MSAJT110.138(1), MSAJT110.144(1), MSAJT110.145(1), MSAJT110.146(1), MSAJT110.149(1), MSAJT110.153(1), MSAJT110.154(1), MSAJT110.155(1), MSAJT110.156(1), MSAJT110.157(1), MSAJT110.159(1), MSAJT110.165(1), MSAJT110.167(1), MSAJT110.168(1), MSAJT110.170(1), MSAJT110.171(1), MSAJT110.174(1), MSAJT110.175(1), MSAJT110.183(1), MSAJT110.184(1), MSAJT110.200(1), MSAJT110.202(1), USER.10(1), USER.106(1), USER.107(1), USER.110(1), USER.111(1), USER.12(1), USER.124(1), USER.125(1), USER.133(1), USER.134(1), USER.135(1), USER.136(1), USER.137(1), USER.138(1), USER.142(1), USER.163(1), USER.164(1), USER.165(1), USER.166(1), USER.167(1), USER.173(1), USER.175(1), USER.179(1), USER.18(1), USER.180(1), USER.19(1), USER.22(1), USER.221(1), USER.224(1), USER.23(1), USER.232(1), USER.236(1), USER.262(1), USER.282(1), USER.283(1), USER.286(1), USER.29(1), USER.290(1), USER.293(1), USER.32(1), USER.33(1), USER.40(1), USER.41(1), USER.420(1), USER.430(1), USER.46(1), USER.47(1), USER.48(1), USER.49(1), USER.58(1), USER.59(1), USER.60(1), USER.62(1), USER.63(1), USER.69(1), USER.72(1), USER.74(1), USER.77(1), USER.78(1), USER.79(1), USER.91(1)
   7  31047  GDI.1(1), GDI.128(1), GDI.80(1), GDI.82(1), GDI.9(1), KERNEL.102(1), KERNEL.19(1), KERNEL.207(1), KERNEL.47(1), KERNEL.55(1), KERNEL.60(1), KERNEL.61(1), KERNEL.62(1), KERNEL.63(1), KERNEL.90(1), KEYBOARD.5(1), USER.101(1), USER.102(1), USER.106(1), USER.107(1), USER.108(1), USER.109(1), USER.111(1), USER.113(1), USER.114(1), USER.118(1), USER.119(1), USER.120(1), USER.121(1), USER.122(1), USER.125(1), USER.127(1), USER.133(1), USER.135(1), USER.136(1), USER.152(1), USER.154(1), USER.155(1), USER.157(1), USER.159(1), USER.171(1), USER.176(1), USER.179(1), USER.180(1), USER.218(1), USER.22(1), USER.228(1), USER.229(1), USER.23(1), USER.230(1), USER.232(1), USER.234(1), USER.235(1), USER.236(1), USER.244(1), USER.258(1), USER.259(1), USER.260(1), USER.261(1), USER.262(1), USER.263(1), USER.264(1), USER.267(1), USER.277(1), USER.28(1), USER.282(1), USER.283(1), USER.286(1), USER.29(1), USER.290(1), USER.291(1), USER.292(1), USER.293(1), USER.32(1), USER.33(1), USER.34(1), USER.35(1), USER.40(1), USER.404(1), USER.414(1), USER.418(1), USER.42(1), USER.420(1), USER.430(1), USER.452(1), USER.458(1), USER.46(1), USER.47(1), USER.472(1), USER.49(1), USER.53(1), USER.56(1), USER.57(1), USER.58(1), USER.6(1), USER.66(1), USER.68(1), USER.69(1), USER.73(1), USER.74(1), USER.75(1), USER.87(1), USER.88(1), USER.89(1), USER.90(1), USER.91(1)
   8  34077  COMMDLG.1(1), COMMDLG.2(1), COMMDLG.20(1), GDI.1(1), GDI.12(1), GDI.13(1), GDI.14(1), GDI.16(1), GDI.17(1), GDI.18(1), GDI.19(1), GDI.2(1), GDI.20(1), GDI.3(1), GDI.30(1), GDI.377(1), GDI.378(1), GDI.379(1), GDI.38(1), GDI.380(1), GDI.381(1), GDI.39(1), GDI.45(1), GDI.61(1), GDI.66(1), GDI.68(1), GDI.69(1), GDI.77(1), GDI.87(1), GDI.9(1), KERNEL.113(1), KERNEL.127(1), KERNEL.128(1), KERNEL.129(1), KERNEL.15(1), KERNEL.16(1), KERNEL.17(1), KERNEL.18(1), KERNEL.19(1), KERNEL.20(1), KERNEL.36(1), KERNEL.5(1), KERNEL.55(1), KERNEL.56(1), KERNEL.7(1), KERNEL.74(1), KERNEL.8(1), KERNEL.88(1), KERNEL.89(1), KERNEL.9(1), KERNEL.90(1), KEYBOARD.5(1), KEYBOARD.6(1), SHELL.11(1), SHELL.12(1), USER.1(1), USER.106(1), USER.109(1), USER.110(1), USER.111(1), USER.118(1), USER.124(1), USER.125(1), USER.134(1), USER.135(1), USER.136(1), USER.150(1), USER.157(1), USER.158(1), USER.159(1), USER.171(1), USER.174(1), USER.177(1), USER.178(1), USER.19(1), USER.22(1), USER.229(1), USER.23(1), USER.230(1), USER.232(1), USER.236(1), USER.244(1), USER.262(1), USER.263(1), USER.264(1), USER.265(1), USER.268(1), USER.271(1), USER.277(1), USER.286(1), USER.287(1), USER.31(1), USER.34(1), USER.35(1), USER.36(1), USER.37(1), USER.40(1), USER.404(1), USER.410(1), USER.413(1), USER.42(1), USER.420(1), USER.430(1), USER.431(1), USER.45(1), USER.46(1), USER.471(1), USER.472(1), USER.49(1), USER.58(1), USER.59(1), USER.6(1), USER.60(1), USER.66(1), USER.68(1), USER.69(1), USER.73(1), USER.74(1), USER.91(1), USER.98(1)
   9  28067  COMMDLG.27(1), GDI.1(1), GDI.127(1), GDI.128(1), GDI.150(1), GDI.151(1), GDI.160(1), GDI.439(1), GDI.442(1), GDI.45(1), GDI.48(1), GDI.51(1), GDI.52(1), GDI.57(1), GDI.66(1), GDI.68(1), GDI.69(1), GDI.70(1), GDI.74(1), GDI.80(1), GDI.82(1), GDI.87(1), GDI.9(1), GDI.92(1), GDI.93(1), KERNEL.107(1), KERNEL.15(1), KERNEL.17(1), KERNEL.18(1), KERNEL.19(1), KERNEL.20(1), KERNEL.21(1), KERNEL.4(1), KERNEL.47(1), KERNEL.48(1), KERNEL.49(1), KERNEL.50(1), KERNEL.55(1), KERNEL.69(1), KERNEL.70(1), KERNEL.88(1), KERNEL.89(1), KERNEL.90(1), KERNEL.95(1), KERNEL.96(1), USER.106(1), USER.107(1), USER.110(1), USER.111(1), USER.122(1), USER.125(1), USER.127(1), USER.134(1), USER.135(1), USER.136(1), USER.173(1), USER.179(1), USER.18(1), USER.180(1), USER.19(1), USER.22(1), USER.23(1), USER.232(1), USER.236(1), USER.239(1), USER.262(1), USER.277(1), USER.28(1), USER.29(1), USER.30(1), USER.32(1), USER.34(1), USER.35(1), USER.36(1), USER.37(1), USER.38(1), USER.404(1), USER.407(1), USER.42(1), USER.430(1), USER.432(1), USER.452(1), USER.457(1), USER.46(1), USER.471(1), USER.472(1), USER.49(1), USER.56(1), USER.57(1), USER.66(1), USER.68(1), USER.69(1), USER.74(1), USER.88(1), USER.91(1)
  10  41808  GDI.127(1), GDI.19(1), GDI.20(1), GDI.27(1), GDI.28(1), GDI.45(1), GDI.48(1), GDI.52(1), GDI.61(1), GDI.66(1), GDI.68(1), GDI.69(1), GDI.77(1), GDI.87(1), GDI.91(1), KERNEL.10(1), KERNEL.113(1), KERNEL.121(1), KERNEL.15(1), KERNEL.16(1), KERNEL.17(1), KERNEL.18(1), KERNEL.19(1), KERNEL.21(1), KERNEL.36(1), KERNEL.48(1), KERNEL.5(1), KERNEL.50(1), KERNEL.55(1), KERNEL.6(1), KERNEL.60(1), KERNEL.61(1), KERNEL.62(1), KERNEL.63(1), KERNEL.7(1), KERNEL.74(1), KERNEL.8(1), KERNEL.82(1), KERNEL.84(1), KERNEL.85(1), KERNEL.9(1), KERNEL.95(1), KERNEL.96(1), KEYBOARD.134(1), KEYBOARD.135(1), OLE2DISP.12(1), OLE2DISP.25(1), OLE2DISP.26(1), OLE2DISP.28(1), OLE2DISP.30(1), OLE2DISP.6(1), OLE2DISP.8(1), UEXTRA.RLETRANSEXPAND(1), USER.10(1), USER.106(1), USER.107(1), USER.110(1), USER.111(1), USER.119(1), USER.12(1), USER.125(1), USER.134(1), USER.135(1), USER.18(1), USER.19(1), USER.21(1), USER.22(1), USER.224(1), USER.23(1), USER.247(1), USER.258(1), USER.262(1), USER.282(1), USER.283(1), USER.286(1), USER.29(1), USER.290(1), USER.32(1), USER.33(1), USER.40(1), USER.431(1), USER.436(1), USER.437(1), USER.438(1), USER.47(1), USER.49(1), USER.60(1), USER.69(1), USER.72(1), USER.73(1), USER.74(1), USER.76(1), USER.77(1), USER.78(1), USER.79(1), USER.81(1), USER.85(1), USER.88(1), WAVMIX16.4(1), WAVMIX16.8(1)
